Antecedent,Consequence,Support,Confidence,Fitness,LHS_len,rhs_name,v,Support_full,Confidence_full,Lift_full
"{Diameter∈[0.313903,0.410466], Viscera.weight∈[0.0945135,0.340998]}",Rings==7,0.0023940627,0.0102564103,0.01265047299999999,2,Rings,7,0.04500837921953555,0.15851602023608768,1.6934051573558524
"{Diameter∈[0.313903,0.410466], Viscera.weight∈[0.0945135,0.340998]}",Rings==7,0.0023940627,0.0102564103,0.01265047299999999,2,Rings,7,0.04500837921953555,0.15851602023608768,1.6934051573558524
"{Height∈[0.064845,0.50147], Sex==F}",Rings==7,0.0011970314,0.0132275132,0.0144245446,2,Rings,7,0,NA,NA
"{Sex==F, Whole.weight∈[0.0145,1.9785]}",Rings==7,2.394063e-4,0.0025062657,0.00274567199999999,2,Rings,7,0.010533875987550874,0.03366488140780413,0.3596373648092017
"{Length∈[0.680408,0.736314], Sex==F, Shucked.weight∈[0.506087,0.66805], Viscera.weight∈[0.234879,0.469]}",Rings==7,2.394063e-4,0.25,0.2502394063,4,Rings,7,2.3940627244433804e-4,0.038461538461538464,0.4108794019279953
"{Diameter∈[0.269822,0.565455], Shell.weight∈[0.403406,0.885]}",Rings==8,2.394063e-4,0.0055865922,0.00582599849999999,2,Rings,8,0.12999760593727555,0.1484417714598141,1.0916219707528936
"{Sex==M, Whole.weight∈[0.018,1.50089]}",Rings==8,0.0033516878,0.0085731782,0.011924866,2,Rings,8,0.04117787886042614,0.112565445026178,0.8277920138632844
"{Diameter∈[0.269822,0.565455], Shell.weight∈[0.403406,0.885]}",Rings==8,2.394063e-4,0.0055865922,0.00582599849999999,2,Rings,8,0.12999760593727555,0.1484417714598141,1.0916219707528936
"{Sex==M, Whole.weight∈[0.018,1.50089]}",Rings==8,0.0033516878,0.0085731782,0.011924866,2,Rings,8,0.04117787886042614,0.112565445026178,0.8277920138632844
"{Diameter∈[0.12,0.518783], Length∈[0.311014,0.709882]}",Rings==8,0.0035910941,0.0046282012,0.0082192953,2,Rings,8,0.13454632511371797,0.15222101841820151,1.119414073825401
"{Diameter∈[0.12,0.506261], Sex==F}",Rings==8,9.576251e-4,0.0104438642,0.0114014893,2,Rings,8,0,NA,NA
"{Diameter∈[0.12,0.51865], Viscera.weight∈[0.0045,0.288903]}",Rings==8,0.0043093129,0.0044139284,0.0087232413,2,Rings,8,0.13454632511371797,0.15222101841820151,1.119414073825401
"{Shell.weight∈[0.215672,0.65077], Viscera.weight∈[0.186055,0.469]}",Rings==8,0.002633469,0.0428015564,0.0454350254,2,Rings,8,0.04117787886042614,0.07758231844835363,0.5705305354907978
"{Diameter∈[0.228182,0.459519], Shell.weight∈[0.230496,0.882133]}",Rings==9,0.0260952837,0.1566091954,0.1827044791,2,Rings,9,0.10414172851328705,0.17849815346737793,1.0821288636186324
"{Diameter∈[0.228182,0.459519], Shell.weight∈[0.230496,0.882133]}",Rings==9,0.0260952837,0.1566091954,0.1827044791,2,Rings,9,0.10414172851328705,0.17849815346737793,1.0821288636186324
"{Diameter∈[0.46424,0.507011], Sex==F}",Rings==9,0.0011970314,0.0724637681,0.07366079950000001,2,Rings,9,0,NA,NA
"{Height∈[0.0251689,0.201707], Whole.weight∈[0.59176,1.6761]}",Rings==9,0.002633469,0.0248868778,0.02752034679999999,2,Rings,9,0.1630356715345942,0.16978309648466716,1.0292946212140126
"{Viscera.weight∈[0.110332,0.371645], Whole.weight∈[1.37862,1.66926]}",Rings==9,4.788125e-4,0.08,0.0804788125,2,Rings,9,0.12999760593727555,0.2040586245772266,1.237086901101706
"{Height∈[0.01,0.24], Viscera.weight∈[0.0005,0.541]}",Rings==10,9.576251e-4,9.576251e-4,0.0019152502,2,Rings,10,0.15154417045726598,0.15179856115107915,1.0000987222840025
"{Height∈[0.01,0.24], Viscera.weight∈[0.0005,0.541]}",Rings==10,9.576251e-4,9.576251e-4,0.0019152502,2,Rings,10,0.15154417045726598,0.15179856115107915,1.0000987222840025
