Antecedent,Consequence,Support,Confidence,Fitness,LHS_len,rhs_name,v
"{Diameter∈[0.313903,0.410466], Viscera.weight∈[0.0945135,0.340998]}",Rings==7,0.0023940627,0.0102564103,0.01265047299999999,2,Rings,7
"{Diameter∈[0.313903,0.410466], Viscera.weight∈[0.0945135,0.340998]}",Rings==7,0.0023940627,0.0102564103,0.012650472999999999,2,Rings,7
"{Height∈[0.064845,0.50147], Sex==F}",Rings==7,0.0011970314,0.0132275132,0.0144245446,2,Rings,7
"{Sex==F, Whole.weight∈[0.0145,1.9785]}",Rings==7,2.394063e-4,0.0025062657,0.0027456719999999998,2,Rings,7
"{Length∈[0.680408,0.736314], Sex==F, Shucked.weight∈[0.506087,0.66805], Viscera.weight∈[0.234879,0.469]}",Rings==7,2.394063e-4,0.25,0.2502394063,4,Rings,7
"{Diameter∈[0.269822,0.565455], Shell.weight∈[0.403406,0.885]}",Rings==8,2.394063e-4,0.0055865922,0.00582599849999999,2,Rings,8
"{Sex==M, Whole.weight∈[0.018,1.50089]}",Rings==8,0.0033516878,0.0085731782,0.011924866,2,Rings,8
"{Diameter∈[0.269822,0.565455], Shell.weight∈[0.403406,0.885]}",Rings==8,2.394063e-4,0.0055865922,0.0058259984999999995,2,Rings,8
"{Sex==M, Whole.weight∈[0.018,1.50089]}",Rings==8,0.0033516878,0.0085731782,0.011924866,2,Rings,8
"{Diameter∈[0.12,0.518783], Length∈[0.311014,0.709882]}",Rings==8,0.0035910941,0.0046282012,0.0082192953,2,Rings,8
"{Diameter∈[0.12,0.506261], Sex==F}",Rings==8,9.576251e-4,0.0104438642,0.0114014893,2,Rings,8
"{Diameter∈[0.12,0.51865], Viscera.weight∈[0.0045,0.288903]}",Rings==8,0.0043093129,0.0044139284,0.0087232413,2,Rings,8
"{Shell.weight∈[0.215672,0.65077], Viscera.weight∈[0.186055,0.469]}",Rings==8,0.002633469,0.0428015564,0.0454350254,2,Rings,8
"{Diameter∈[0.228182,0.459519], Shell.weight∈[0.230496,0.882133]}",Rings==9,0.0260952837,0.1566091954,0.1827044791,2,Rings,9
"{Diameter∈[0.228182,0.459519], Shell.weight∈[0.230496,0.882133]}",Rings==9,0.0260952837,0.1566091954,0.1827044791,2,Rings,9
"{Diameter∈[0.46424,0.507011], Sex==F}",Rings==9,0.0011970314,0.0724637681,0.07366079950000001,2,Rings,9
"{Height∈[0.0251689,0.201707], Whole.weight∈[0.59176,1.6761]}",Rings==9,0.002633469,0.0248868778,0.027520346799999998,2,Rings,9
"{Viscera.weight∈[0.110332,0.371645], Whole.weight∈[1.37862,1.66926]}",Rings==9,4.788125e-4,0.08,0.0804788125,2,Rings,9
"{Height∈[0.01,0.24], Viscera.weight∈[0.0005,0.541]}",Rings==10,9.576251e-4,9.576251e-4,0.0019152502,2,Rings,10
"{Height∈[0.01,0.24], Viscera.weight∈[0.0005,0.541]}",Rings==10,9.576251e-4,9.576251e-4,0.0019152502,2,Rings,10
"{Diameter∈[0.304231,0.635181], Viscera.weight∈[0.410186,0.519]}",Rings==10,0.0011970314,0.2777777778,0.2789748092,2,Rings,10
"{Height∈[0.121917,0.211534], Shell.weight∈[0.374112,0.806809]}",Rings==10,2.394063e-4,0.0192307692,0.019470175500000002,2,Rings,10
"{Diameter∈[0.413249,0.621257], Viscera.weight∈[0.353102,0.432577]}",Rings==10,0.0021546565,0.3461538462,0.3483085027,2,Rings,10
"{Height∈[0,0.111374], Whole.weight∈[0.021,0.870133]}",Rings==10,0.0016758439,0.0021387107,0.0038145546,2,Rings,10
"{Diameter∈[0.318596,0.516969], Sex==I}",Rings==11,4.788125e-4,0.002259887,0.0027386995,2,Rings,11
"{Diameter∈[0.318596,0.516969], Sex==I}",Rings==11,4.788125e-4,0.002259887,0.0027386995,2,Rings,11
"{Length∈[0.227534,0.684052], Shell.weight∈[0.349822,0.419947]}",Rings==12,2.394063e-4,0.003003003,0.0032424093,2,Rings,12
"{Length∈[0.227534,0.684052], Shell.weight∈[0.349822,0.419947]}",Rings==12,2.394063e-4,0.003003003,0.0032424093,2,Rings,12
"{Height∈[0,0.325683], Length∈[0.450878,0.815]}",Rings==12,0.0064639694,0.0359520639,0.042416033299999996,2,Rings,12
"{Shell.weight∈[0.0798407,0.431852], Viscera.weight∈[0.347816,0.519]}",Rings==12,2.394063e-4,0.2,0.2002394063,2,Rings,12
"{Sex==M, Shell.weight∈[0.376993,0.632007], Viscera.weight∈[0.00600375,0.512691]}",Rings==12,7.182188e-4,0.12,0.1207182188,3,Rings,12
"{Height∈[0,1.13], Shucked.weight∈[0.005,1.488], Viscera.weight∈[0.0537631,0.76]}",Rings==12,0.0047881254,0.0097276265,0.014515751899999998,3,Rings,12
"{Height∈[0.155456,0.22945], Length∈[0.20193,0.588735], Shucked.weight∈[0.445621,1.06276]}",Rings==13,2.394063e-4,0.008,0.0082394063,3,Rings,13
"{Height∈[0.155456,0.22945], Length∈[0.20193,0.588735], Shucked.weight∈[0.445621,1.06276]}",Rings==13,2.394063e-4,0.008,0.0082394063,3,Rings,13
"{Length∈[0.458902,0.528458], Sex==F}",Rings==13,2.394063e-4,0.007518797,0.0077582033,2,Rings,13
"{Height∈[0,0.25], Whole.weight∈[0.021,2.7795]}",Rings==13,0.0047881254,0.0047881254,0.0095762508,2,Rings,13
"{Height∈[0,0.25], Whole.weight∈[0.021,2.7795]}",Rings==6,0.8999281781,0.8999281781,1.7998563562,2,Rings,6
"{Shell.weight∈[0.0922262,0.24186], Whole.weight∈[0.269908,0.761081]}",Rings==6,0.152022983,0.6453252033,0.7973481863,2,Rings,6
