Antecedent,Consequence,Support,Confidence,Fitness,LHS_len,rhs_name,v,key
"{Height∈[0.0990,0.2250], Shell.weight∈[0.0703,0.5216]}",Rings==7,0.0073333333,0.0079307859,0.0152641192,2,Rings,7,"Height∈[0.0990,0.2250]|Shell.weight∈[0.0703,0.5216] | Rings=7"
"{Shell.weight∈[0.1854,0.2621], Shucked.weight∈[0.0050,0.7453]}",Rings==7,6.666667e-4,0.0023474178,0.0030140845,2,Rings,7,"Shell.weight∈[0.1854,0.2621]|Shucked.weight∈[0.0050,0.7453] | Rings=7"
"{Viscera.weight∈[0.1978,0.2161], Whole.weight∈[0.5906,2.3305]}",Rings==7,6.666667e-4,0.0097087379,0.0103754046,2,Rings,7,"Viscera.weight∈[0.1978,0.2161]|Whole.weight∈[0.5906,2.3305] | Rings=7"
"{Diameter∈[0.2994,0.4697], Length∈[0.4892,0.5900]}",Rings==8,0.0046666667,0.0106870229,0.0153536896,2,Rings,8,"Diameter∈[0.2994,0.4697]|Length∈[0.4892,0.5900] | Rings=8"
"{Length∈[0.5972,0.7550], Viscera.weight∈[0.0030,0.5410]}",Rings==8,0.002,0.0068649886,0.0088649886,2,Rings,8,"Length∈[0.5972,0.7550]|Viscera.weight∈[0.0030,0.5410] | Rings=8"
"{Height∈[0.0758,0.1537], Shell.weight∈[0.1423,0.4728], Viscera.weight∈[0.1269,0.2595]}",Rings==8,6.666667e-4,0.0019011407,0.0025678074,3,Rings,8,"Height∈[0.0758,0.1537]|Shell.weight∈[0.1423,0.4728]|Viscera.weight∈[0.1269,0.2595] | Rings=8"
"{Shucked.weight∈[0.1955,1.2530], Whole.weight∈[0.4301,1.0325]}",Rings==8,0.012,0.0230179028,0.0350179028,2,Rings,8,"Shucked.weight∈[0.1955,1.2530]|Whole.weight∈[0.4301,1.0325] | Rings=8"
"{Diameter∈[0.2601,0.5539], Height∈[0.1426,0.4457]}",Rings==8,0.0033333333,0.0069735007,0.010306834,2,Rings,8,"Diameter∈[0.2601,0.5539]|Height∈[0.1426,0.4457] | Rings=8"
"{Length∈[0.3252,0.7108], Sex==M}",Rings==8,0.004,0.0106007067,0.0146007067,2,Rings,8,"Length∈[0.3252,0.7108]|Sex==M | Rings=8"
"{Shell.weight∈[0.1893,0.6020], Whole.weight∈[0.9071,1.5191]}",Rings==9,0.3613333333,0.9048414023,1.2661747356,2,Rings,9,"Shell.weight∈[0.1893,0.6020]|Whole.weight∈[0.9071,1.5191] | Rings=9"
