"","Antecedent","Consequence","Support","Confidence","Fitness","LHS_len"
"1","Length (0.075,0.815)","Shucked.weight (0.001,1.488), Shell.weight (0.0015,0.976006332330606)",0.9997605937,0.9997605937,1.9995211874,2
"2","Shell.weight (0.0015,1.005)","Length (0.075,0.815), Height (0,0.364358892989571)",0.9995211875,0.9995211875,1.999042375,2
"3","Whole.weight (0.00968973661954526,2.25287745889148)","Length (0.075,0.815)",0.9940148432,1,1.9940148432,2
"4","Length (0.075,0.74888344632415)","Shucked.weight (0.001,1.488), Height (0,0.450412661800577)",0.9937754369,0.9995184204,1.9932938573,2
"5","Length (0.075,0.716861965339054)","Shell.weight (0.0015,1.005), Shucked.weight (0.001,1.24936665680713), Height (0,0.246454304683333)",0.9751017477,0.9992639843,1.974365732,2
"6","Shell.weight (0.0015,1.005)","Whole.weight (0.0538037690490198,2.8255), Shucked.weight (0.001,1.488), Length (0.075,0.795394834484372), Height (0,0.584082474084213)",0.9830021547,0.9830021547,1.9660043094,2
"7","Whole.weight (0.0105828062666366,2.73553481075303)","Height (0,0.308995200150724), Viscera.weight (5e-04,0.463395109316768), Length (0.075,0.715512131714674)",0.971031841,0.9721955896,1.9432274306,2
"8","Shell.weight (0.0015,1.005)","Shucked.weight (0.001,1.34481999408428), Height (0,0.42034975723595), Length (0.075,0.709966564528045)",0.9676801532,0.9676801532,1.9353603064,2
"9","Height (0,0.302239484964115)","Whole.weight (0.106396775663822,2.8255)",0.9593009337,0.959760479,1.9190614127,2
"10","Whole.weight (0.0105828062666366,2.8255)","Length (0.075,0.690691394917101)",0.9497246828,0.9504072832,1.900131966,2
"11","Viscera.weight (0.0438632796808989,0.501510639642063)","Shell.weight (0.0015,0.757449331754687), Length (0.075,0.74888344632415), Shucked.weight (0.001,1.488), Height (0,0.543506089545075)",0.8879578645,0.9941034575,1.882061322,2
"12","Viscera.weight (0.0497459224968612,0.451097887932424)","Length (0.075,0.815)",0.8676083313,1,1.8676083313,2
"13","Height (0,0.390946901158024)","Length (0.204072801157056,0.815), Viscera.weight (0.0337431262436658,0.76)",0.93320565,0.9336526946,1.8668583446,2
"14","Viscera.weight (0.0554642909225931,0.734840987589921)","Length (0.075,0.768479794149465), Height (0,0.324204439178036), Shucked.weight (0.001,1.488)",0.863777831,0.997236042,1.861013873,2
"15","Viscera.weight (0.0337431262436658,0.385824847649479)","Length (0.075,0.699373524384654)",0.8733540819,0.9822294023,1.8555834842,2
"16","Shell.weight (0.0868038382956903,1.005)","Length (0.075,0.768849385324612), Shucked.weight (0.001,1.488), Height (0,0.361756234622)",0.8436677041,0.9968882603,1.8405559644,2
"17","Viscera.weight (0.0559052104061097,0.520024498104975)","Length (0.075,0.752552524653609), Height (0,0.35365860508642), Shucked.weight (0.001,0.959668486120725)",0.850610486,0.9866703693,1.8372808553,2
"18","Shell.weight (0.0993211807247125,0.976006047346377)","Length (0.152443680694233,0.788454550840241)",0.8209241082,0.9994170796,1.8203411878,2
"19","Shell.weight (0.0993211807247125,0.976006047346377)","Height (0,0.302225981705628), Length (0.152443680694233,0.784317310353635)",0.8204452957,0.9988341591,1.8192794548,2
"20","Shell.weight (0.103864605954828,1.005)","Height (0,0.29964052100859), Length (0.152443680694233,0.815)",0.8103902322,0.9994095069,1.8097997391,2
"21","Viscera.weight (0.0442173460085709,0.335383755115469)","Length (0.075,0.711121713527762)",0.8051232942,0.9979228487,1.8030461429,2
