"","Antecedent","Consequence","Support","Confidence","Fitness","LHS_len"
"1","Height (0,0.646698570690794)","Whole.weight (0.230272188342388,2.6501851472529)",0.8790998324,0.8793103448,1.7584101772,2
"5","Whole.weight (0.371539852502749,1.70926211838827)","Height (0,0.666608314975474), Length (0.075,0.606874591982066)",0.5178357673,0.6941591784,1.2119949457,2
"6","Length (0.120214663111518,0.788398987104508)","Diameter (0.284517157721279,0.65), Viscera.weight (0.140472591252495,0.543858356387252)",0.5997127125,0.6002875629,1.2000002754,2
"7","Length (0.075,0.815), Sex (F), Shell.weight (0.276750009407246,1.005)","Viscera.weight (5e-04,0.76)",0.1747665789,1,1.1747665789,5
"8","Whole.weight (0.002,1.96370231155972)","Length (0.191574892005785,0.623642170451016), Height (0,0.826171869383135), Diameter (0.325370873423559,0.65)",0.5714627723,0.5833333333,1.1547961056,2
"9","Sex (M), Diameter (0.447847139684093,0.629771858464619), Length (0.617140814667771,0.815), Shucked.weight (0.001,1.19081695661011), Viscera.weight (5e-04,0.543858356387252)","Shell.weight (0.271399516209724,1.005)",0.1113239167,0.96875,1.0800739167,9
"10","Shell.weight (0.438577959516607,1.005)","Length (0.075,0.791137238600716)",0.082595164,0.9942363112,1.0768314752,2
"11","Shell.weight (0.470478928645968,1.005), Viscera.weight (5e-04,0.558739540992299)","Length (0.308901741108143,0.815)",0.056260474,1,1.056260474,4
"12","Shell.weight (0.396235389831096,1.005)","Length (0.347069662159516,0.739181601720418)",0.1206607613,0.9350649351,1.0557256964,2
"13","Length (0.567644798954368,0.809669399114148), Viscera.weight (0.330884377927542,0.713117727308415), Shell.weight (0.429125701656812,0.519536121509265)","Diameter (0.328791631276949,0.65)",0.036868566,1,1.036868566,6
"14","Length (0.540516001087457,0.809669399114148), Shell.weight (0.368084556081981,0.517636002594439), Viscera.weight (0.354462540096419,0.713117727308415), Shucked.weight (0.662783480368081,1.38661822989276)","Diameter (0.329644671425012,0.65)",0.0349533158,1,1.0349533158,8
"15","Diameter (0.502697708500019,0.65), Viscera.weight (5e-04,0.76), Length (0.682437533586055,0.815), Shucked.weight (0.158947323607971,1.488)","Shell.weight (0.336625790491408,0.912687524742653)",0.0574575054,0.9677419355,1.0251994409,8
"16","Shucked.weight (0.174891826842801,1.19806604520931), Length (0.682437533586055,0.815), Diameter (0.39556195277215,0.65)","Shell.weight (0.35497276019511,0.953118417253619), Viscera.weight (5e-04,0.76)",0.0553028489,0.9585062241,1.013809073,6
