Antecedent,Consequence,Support,Confidence,Fitness
"Diameter in [0.465,0.500) & Height in [0.100,0.125) & WholeWeight in [0.715,2.780)",Rings = 9,4.7881254488867607e-4,0.3333333333333333,2.0208030962747943
"Height in [0.125,0.140) & Length in [0.635,0.815) & ShuckedWeight in [0.477,0.872) & VisceraWeight in [0.213,0.425)",Rings = 9,2.3940627244433804e-4,0.3333333333333333,2.0208030962747943
"Height in [0.125,0.140) & Length in [0.635,0.815) & WholeWeight in [0.191,2.493)",Rings = 9,2.3940627244433804e-4,0.3333333333333333,2.0208030962747943
"Sex=M & ShuckedWeight in [0.457,1.253) & WholeWeight in [0.010,1.330)",Rings = 9,0.022504189609767775,0.27485380116959063,1.6662762372792164
"Diameter in [0.465,0.500) & Length in [0.545,0.590) & ShellWeight in [0.041,0.635)",Rings = 9,0.005506344266219775,0.2674418604651163,1.6213420191041956
"Height in [0.125,0.140) & ShellWeight in [0.086,0.514) & WholeWeight in [0.839,1.979)",Rings = 9,0.005266937993775437,0.25,1.515602322206096
"Diameter in [0.305,0.375) & ShuckedWeight in [0.383,0.718) & VisceraWeight in [0.026,0.230)",Rings = 9,4.7881254488867607e-4,0.25,1.515602322206096
"Length in [0.545,0.590) & ShellWeight in [0.066,1.005)",Rings = 9,0.038783816135982765,0.24545454545454545,1.4880459163478033
"VisceraWeight in [0.200,0.238)",Rings = 9,0.026574096241321524,0.2336842105263158,1.4166893285463296
"Diameter in [0.465,0.500) & ShuckedWeight in [0.010,1.031)",Rings = 9,0.033995690687096,0.22756410256410256,1.3795867291876
"Height in [0.140,0.160) & Length in [0.485,0.545) & VisceraWeight in [0.204,0.541)",Rings = 9,0.0011970313622216902,0.22727272727272727,1.3778202929146326
"Sex=I & ShuckedWeight in [0.386,0.979) & WholeWeight in [0.084,1.562)",Rings = 9,0.005266937993775437,0.22680412371134023,1.3749794263313035
"ShellWeight in [0.188,0.512) & ShuckedWeight in [0.487,0.599) & VisceraWeight in [0.002,0.397)",Rings = 9,0.027531721331098876,0.22115384615384615,1.3407251311823154
"ShellWeight in [0.037,0.780) & ShuckedWeight in [0.312,1.253) & WholeWeight in [0.018,1.547)",Rings = 9,0.10031122815417765,0.2197168327215522,1.3320133676022112
"Length in [0.590,0.635)",Rings = 9,0.03447450323198468,0.20930232558139536,1.2688763627771966
"ShuckedWeight in [0.306,0.413)",Rings = 9,0.03327747186976299,0.20232896652110627,1.2266010060357924
"ShellWeight in [0.089,0.744) & ShuckedWeight in [0.001,0.844) & WholeWeight in [0.038,1.429)",Rings = 9,0.14651663873593487,0.20151465261771484,1.2216643018638533
"Length in [0.590,0.635) & Sex=F & ShuckedWeight in [0.001,0.611) & VisceraWeight in [0.096,0.404)",Rings = 9,0.012927938711994253,0.20149253731343283,1.2215302298377488
"Height in [0.100,0.125) & Length in [0.590,0.635) & WholeWeight in [0.414,2.493)",Rings = 9,2.3940627244433804e-4,0.19999999999999998,1.2124818577648766
"Sex=F & ShuckedWeight in [0.329,1.224) & WholeWeight in [0.463,2.555)",Rings = 9,0.04333253531242519,0.19890109890109892,1.2058198695353994
Sex=M,Rings = 9,0.06655494373952597,0.18193717277486912,1.1029776062128132
"ShuckedWeight in [0.088,0.858)",Rings = 9,0.15800813981326312,0.18097066081710997,1.0971182151423344
"Diameter in [0.375,0.425) & Sex=F & ShellWeight in [0.002,0.815)",Rings = 9,0.009097438352884846,0.17757009345794392,1.0765025839968532
"Height in [0.140,0.160) & Length in [0.485,0.545) & WholeWeight in [0.309,1.813)",Rings = 9,0.009815657170217859,0.17446808510638298,1.0576969397523392
"Length in [0.405,0.485) & ShuckedWeight in [0.138,1.253)",Rings = 9,0.0220253770648791,0.15358931552587649,0.9311212931082526
"Length in [0.405,0.485)",Rings = 9,0.023701220971989467,0.14580265095729014,0.8839153454986951
"ShuckedWeight in [0.603,1.197) & VisceraWeight in [0.019,0.541)",Rings = 9,0.019391908067991383,0.14542190305206465,0.8816070958613557
"Diameter in [0.305,0.375) & Height in [0.160,0.175) & ShuckedWeight in [0.048,0.410)",Rings = 9,2.3940627244433804e-4,0.14285714285714285,0.8660584698320547
"Sex=M & ShuckedWeight in [0.185,1.253) & VisceraWeight in [0.241,0.575) & WholeWeight in [1.102,2.548)",Rings = 9,0.016279626526214987,0.1349206349206349,0.8179441103969406
"Sex=I & ShellWeight in [0.005,0.602) & WholeWeight in [0.015,2.825)",Rings = 9,0.041417285132870484,0.12968515742128936,0.786204502973477
