"rules","support","confidence","coverage","lift","count"
"{Sex=M,Diameter=[0.494,0.65],Height=[0.174,0.2),WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419)} => {Rings=26}",0.000239406272444338,1,0.000239406272444338,4177,1
"{Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,1,0.000239406272444338,4177,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,1,0.000239406272444338,4177,1
"{Sex=M,Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,1,0.000239406272444338,4177,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],Height=[0.174,0.2),VisceraWeight=[0.16,0.234),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,1,0.000239406272444338,4177,1
"{Sex=M,Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,1,0.000239406272444338,4177,1
"{Sex=M,Length=[0.53,0.602),Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419)} => {Rings=26}",0.000239406272444338,1,0.000239406272444338,4177,1
"{Sex=M,Length=[0.53,0.602),Diameter=[0.494,0.65],Height=[0.174,0.2),VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,1,0.000239406272444338,4177,1
"{Sex=M,Length=[0.67,0.815],ShuckedWeight=[0.419,0.574),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,1,0.000239406272444338,2088.5,1
"{Height=[0.2,1.13],WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,1,0.000239406272444338,2088.5,1
"{Sex=F,Length=[0.67,0.815],WholeWeight=[1.78,2.83],VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,1,0.000239406272444338,2088.5,1
"{Sex=F,WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,1,0.000239406272444338,2088.5,1
