"rule_id","support","confidence","lift","rhs","antecedent_length","lhs_1","lhs_2","lhs_3","lhs_4","lhs_5","lhs_6","lhs_7","lhs_8"
1,0.000239406272444338,1,4177,"Rings=26",5,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Sex=M","ShuckedWeight=[0.28,0.419)","WholeWeight=[1,1.34)",NA,NA,NA
2,0.000239406272444338,1,4177,"Rings=26",5,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)",NA,NA,NA
3,0.000239406272444338,1,4177,"Rings=26",5,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Length=[0.53,0.602)","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)",NA,NA,NA
4,0.000239406272444338,1,4177,"Rings=26",5,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Sex=M","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)",NA,NA,NA
5,0.000239406272444338,1,4177,"Rings=26",5,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Length=[0.53,0.602)","ShellWeight=[0.289,0.388)","VisceraWeight=[0.16,0.234)",NA,NA,NA
6,0.000239406272444338,1,4177,"Rings=26",5,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Sex=M","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)",NA,NA,NA
7,0.000239406272444338,1,4177,"Rings=26",5,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Length=[0.53,0.602)","Sex=M","ShuckedWeight=[0.28,0.419)",NA,NA,NA
8,0.000239406272444338,1,4177,"Rings=26",5,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Length=[0.53,0.602)","Sex=M","VisceraWeight=[0.16,0.234)",NA,NA,NA
9,0.000239406272444338,1,2088.5,"Rings=24",4,"Length=[0.67,0.815]","Sex=M","ShellWeight=[0.534,1]","ShuckedWeight=[0.419,0.574)",NA,NA,NA,NA
10,0.000239406272444338,1,2088.5,"Rings=24",4,"Height=[0.2,1.13]","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
11,0.000239406272444338,1,2088.5,"Rings=24",4,"Length=[0.67,0.815]","Sex=F","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
12,0.000239406272444338,1,2088.5,"Rings=24",4,"Sex=F","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
13,0.000239406272444338,1,2088.5,"Rings=24",5,"Height=[0.174,0.2)","Sex=M","ShellWeight=[0.534,1]","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.315,0.413)",NA,NA,NA
14,0.000239406272444338,0.5,2088.5,"Rings=25",4,"Height=[0.2,1.13]","Length=[0.602,0.67)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
15,0.000239406272444338,0.5,2088.5,"Rings=25",4,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
16,0.000239406272444338,0.5,2088.5,"Rings=25",4,"Diameter=[0.429,0.494)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
17,0.000239406272444338,0.5,2088.5,"Rings=26",4,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)",NA,NA,NA,NA
18,0.000239406272444338,0.5,2088.5,"Rings=26",4,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
19,0.000239406272444338,0.5,2088.5,"Rings=26",4,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Length=[0.53,0.602)","ShuckedWeight=[0.28,0.419)",NA,NA,NA,NA
20,0.000239406272444338,0.5,2088.5,"Rings=26",4,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Sex=M","ShuckedWeight=[0.28,0.419)",NA,NA,NA,NA
21,0.000239406272444338,0.5,2088.5,"Rings=26",4,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","Sex=M","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
22,0.000239406272444338,0.5,2088.5,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA,NA
23,0.000239406272444338,0.5,2088.5,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Length=[0.602,0.67)","ShellWeight=[0.388,0.534)","VisceraWeight=[0.16,0.234)",NA,NA,NA
24,0.000239406272444338,0.5,2088.5,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Sex=F","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA,NA
25,0.000239406272444338,0.5,2088.5,"Rings=25",5,"Length=[0.602,0.67)","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA
26,0.000239406272444338,0.5,2088.5,"Rings=25",5,"Length=[0.602,0.67)","Sex=F","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA
27,0.000239406272444338,0.5,2088.5,"Rings=26",5,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","ShellWeight=[0.289,0.388)","VisceraWeight=[0.16,0.234)","WholeWeight=[1,1.34)",NA,NA,NA
28,0.000239406272444338,0.5,2088.5,"Rings=26",6,"Diameter=[0.494,0.65]","Sex=M","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)","WholeWeight=[1,1.34)",NA,NA
29,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",3,"Height=[0.2,1.13]","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA,NA
