"Antecedent","Consequence","Support","Confidence","Fitness"
"VisceraWeight (5e-04,0.76)","WholeWeight (0.002,2.8255)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"VisceraWeight (5e-04,0.76)","VisceraWeight (5e-04,0.76), WholeWeight (0.002,2.8255)","1","1","2"
"WholeWeight (0.002,2.8255)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"VisceraWeight (5e-04,0.76)","WholeWeight (0.002,2.8255)","1","1","2"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","1","1","2"
"WholeWeight (0.002,2.69482468762021)","VisceraWeight (5e-04,0.76)","0.9995211875","1","1.9995211875"
"Height (0.00654428721150907,1.13)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","0.9995211875","1","1.9995211875"
"WholeWeight (0.002,2.69482468762021)","VisceraWeight (5e-04,0.76)","0.9995211875","1","1.9995211875"
"Rings (1.13442047164608,27.3727968334933)","Diameter (0.055,0.65)","0.9995211875","1","1.9995211875"
"WholeWeight (0.002,2.76016234381011)","VisceraWeight (5e-04,0.76)","0.9995211875","1","1.9995211875"
"Height (0.00568263392447989,1.13)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","0.9995211875","1","1.9995211875"
"WholeWeight (0.002,2.76016234381011)","VisceraWeight (5e-04,0.76)","0.9995211875","1","1.9995211875"
